1290.75,252.55,260.05,1036.8,563.8,653.9,567.2,1058,257.7,595.65,331.85,490.5,1159.25,806.7,5052.65,623.7,370.45,468.7,170.05,575.75,572.6,1268.45,1348.85,602.35,1628.85,291.6,375.55,1173.35,48.25,636.85
1271.7,250.7,241.55,1038.1,481.45,618.25,521.35,1082.1,252.3,541.85,314.05,477.65,1162.1,778.75,5479.2,640.4,374.4,419.9,172.05,582.75,580.25,1240.55,1323.95,612.7,1624.15,275.2,349.85,960.1,46.35,574.7
1253.7,257.85,241.9,1002.5,440.85,646.35,512.2,1051.2,277,487.8,318.5,465,1075.35,820.45,5898.9,656.25,404.65,439.5,202.45,323.55,577.35,1189.1,1340.85,670.45,1418.5,278.45,363.3,1007.45,51.8,579.8
1199.6,258.4,232.9,975.45,477.15,645,524.35,992.75,265,469.75,324.5,465.1,969.85,756.2,5263.45,609.7,414.95,485.4,229.75,305.8,566.55,1087.6,1198.35,644.05,1377.45,252.3,301.55,919.25,51.2,545.25
1204.2,249.75,240.95,1010.7,521.75,679.5,565.55,1080.1,255.3,450,305.35,474,891.35,719.05,5323,614.8,391.1,488.7,216.3,325.65,568.2,1112.8,1179.6,634.55,1315.5,260.25,282.25,854.75,49.2,522.05
1286.95,260,258.05,929.3,450.6,666.25,559.75,1043.4,269.05,465.9,347.9,457.1,970.8,772.55,5896.5,594.15,462.4,451.75,253.15,366.05,574.25,1148.85,1230.65,681.2,1299,257.25,306.4,876.65,63.55,569.65
1389.2,269.2,262.15,1012.3,473.35,711.85,594.5,1238.25,276.4,506.15,365.15,488.5,1024.45,801,5922.85,634.4,482.65,499.85,259.1,384.95,583.2,1206.25,1300.1,669.6,1360.5,280.5,355.55,1007.75,61.1,623.6
1442.3,292.6,280.45,1020.8,452.4,711.2,577.85,1319.2,277.1,490.8,349.95,515.35,1071.2,872.1,6024.3,595.65,482.65,459.6,274.7,386.75,592.3,1257.8,1166.65,648.95,1549.25,294.35,369.4,1106.15,61.2,767.5
1542.15,289.45,278.6,919.4,486.15,707.4,534.75,1394.8,278.5,509.6,354.6,494.1,1119.6,901.6,6525.5,586.75,448.85,416.95,243.6,439.85,556.8,1311.75,1234.45,719.25,1416.05,314.9,393.1,1038.85,60.4,843
1633.35,288.55,311.9,976.95,544.85,797.85,609.85,1340.6,326.3,514.2,371.8,537.15,1152.6,964.5,7214.9,606.9,504.9,389.9,239,431.85,514.6,1373.55,1209.95,742.1,1224.15,313.9,412.9,914.05,57.15,762.45
1652.25,273.6,323.85,935.65,528.55,790.25,599.15,1380.25,290.1,516.1,379.15,258.75,1104.15,955.45,7217.9,678.6,544.35,381.35,249.05,384.9,554.35,1333.95,1275.9,638.95,1213,313.95,454.65,945.45,58.35,742.4
1783.35,312.55,285.15,1011.3,477,763.75,605.25,1613.85,301.95,518.85,417.8,289,1159.45,1019.75,7707.95,644.55,567.55,385.25,279.65,367.35,558.65,1451.85,1257,470.7,1316.75,333.55,473.2,1317,63.25,759.2
1775,277.35,282.2,915.3,462.65,752.3,612.25,1593.5,297.65,500.65,427.85,299.05,1168.15,975.95,7702.5,620.35,638,428.05,308.15,453.95,571.7,1285.3,1083.65,528.55,1202.7,314.5,475.25,1391.85,60.75,780.85
1803.05,253.75,258.25,898.75,463.55,797.3,617.8,782.15,276.95,508.8,388.65,280.95,1117.05,1001.9,7973.15,668.05,651.05,457.25,313.95,400.05,584.95,1199.2,1006.65,472.1,1231.25,310.75,474.45,1388.05,53.65,832.7
1808.8,305.8,266.1,921.65,480.25,828.65,689.7,940.8,299.95,523.05,497.65,294,1180.7,1024.55,8217.1,650,703.65,481.35,331.9,414.3,625.7,1272.85,1035.8,541.6,1271.4,315.2,492.95,1633.75,77.9,909.85
1852.05,320.45,255.65,974.95,538.85,1009.45,729.8,922.6,307.8,536,496.85,291.8,1147.75,1000.2,8602.3,652.85,695.15,489.3,295.8,393.5,600.35,1195.6,1108,502.75,1287.9,305.7,442.65,1775.45,76.85,879.3
1873.55,309.5,263.1,1039.3,610.1,1116.55,729.25,921.05,314,562.4,529.4,313.4,1157.9,1009.1,9731.35,718.5,732.45,503.85,329.75,388.4,607.15,1236.8,1205.25,518.7,1416.65,322.15,474.4,1762.05,92.15,843.8
2006.35,312.75,271.25,1150.65,768.45,1274.95,899.5,961.15,352.95,593.4,439.65,304.65,1131.05,1109.75,9514.15,789.05,705.05,610.85,339.5,417.75,587.45,1297.55,1161.6,491.9,1362.95,309.6,414.6,2031.6,88.9,841.95
1883.8,268.75,265.1,1174.25,814.45,1439.15,858.55,952.45,313.5,529.6,427.35,292.8,1118.85,1088.75,8873.15,854.8,671.7,612.55,329.45,379.25,589.35,1164.35,1202.85,429.35,1369.25,308.75,390.4,2033.15,83.2,863.65
1891.45,250.1,255.9,1134.4,774,1341.15,843.7,882.8,278.4,509.4,398.9,281.45,1120.7,1048.6,8863.15,690.7,570.9,638.3,278.3,176.3,543.25,1073.05,1062.65,427.95,1247.9,326.1,407.55,2326.65,70.2,830.2
1944.6,246.3,281.45,1199.4,1085.35,1568.75,1033.65,963.1,284.45,518.05,409.55,278.75,1200.15,1210.35,8822.8,808,594.7,671.55,298.5,162.3,606.65,1121.05,1088.7,388.15,1415.45,332.85,451.85,2549,77.7,883
